image,avg_diff,rated_ethnicity,,
CFD_M-242-N.png,0.404761905,Ambiguous,,
CFD_M-212-N.png,0.547619048,Ambiguous,,
IFD_M-419-N.png,0.571428571,Ambiguous,,
CFD_M-236-N.png,1.238095238,Ambiguous,,
CFD_M-220-N.png,1.380952381,Ambiguous,,
CFD_M-234-N.png,1.5,Ambiguous,,
CFD_M-206-N.png,1.880952381,Ambiguous,,
IFD_M-018-N.png,2.19047619,Ambiguous,,
CFD_M-227-N.png,2.214285714,Ambiguous,,
CFD_M-224-N.png,2.857142857,Ambiguous,,
CFD_M-218-N.png,4.095238095,Ambiguous,,
CFD_M-211-N.png,4.976190476,Ambiguous,,32
IFD_M-108-N.png,5.166666667,Ambiguous,,+
CFD_M-214-N.png,5.380952381,Ambiguous,,
IFD_M-135-N.png,5.380952381,Ambiguous,,
IFD_M-416-N.png,5.80952381,Ambiguous,,
IFD_M-105-N.png,6.214285714,Ambiguous,,
CFD_M-237-N.png,6.30952381,Ambiguous,,
CFD_M-216-N.png,6.5,Ambiguous,,
CFD_M-248-N.png,6.857142857,Ambiguous,,
CFD_M-243-N.png,7.023809524,Ambiguous,,
CFD_M-229-N.png,7.357142857,Ambiguous,,
IFD_M-086-N.png,7.547619048,Ambiguous,,
CFD_M-247-N.png,7.571428571,Ambiguous,,
IFD_M-067-N.png,7.976190476,Ambiguous,,
CFD_M-253-N.png,8.238095238,Ambiguous,,
IFD_M-424-N.png,9.80952381,Ambiguous,,
CFD_M-225-N.png,9.880952381,Ambiguous,,
IFD_M-132-N.png,9.952380952,Ambiguous,,
IFD_M-421-N.png,10.04761905,Ambiguous,,
IFD_M-136-N.png,12.88095238,Ambiguous,,
IFD_M-420-N.png,14.26190476,Ambiguous,,
CFD_M-213-N.png,14.4047619,Ambiguous,,
IFD_M-117-N.png,14.5952381,Ambiguous,,
CFD_M-231-N.png,14.78571429,Ambiguous,,
CFD_M-222-N.png,15.4047619,Ambiguous,,
IFD_M-062-N.png,15.42857143,Ambiguous,,
CFD_M-223-N.png,15.66666667,Ambiguous,,
CFD_M-246-N.png,16.14285714,Ambiguous,,
IFD_M-075-N.png,16.71428571,Ambiguous,,
CFD_M-230-N.png,16.83333333,Ambiguous,,
IFD_M-121-N.png,16.85714286,Ambiguous,,
IFD_M-036-N.png,16.88095238,Ambiguous,,
CFD_M-204-N.png,16.97619048,Ambiguous,,
IFD_M-100-N.png,18.42857143,Ambiguous,,
CFD_M-251-N.png,18.64285714,Ambiguous,,
IFD_M-042-N.png,18.88095238,Ambiguous,,
IFD_M-122-N.png,19.11904762,Ambiguous,,
CFD_M-200-N.png,19.33333333,Ambiguous,,
CFD_M-221-N.png,19.5952381,Ambiguous,,
IFD_M-044-N.png,19.66666667,Ambiguous,,
CFD_M-252-N.png,20.02380952,Arab,,
CFD_M-239-N.png,20.23809524,Arab,,
IFD_M-033-N.png,21.19047619,Jewish,,
IFD_M-418-N.png,21.52380952,Jewish,,
IFD_M-441-N.png,22.76190476,Jewish,,
IFD_M-021-N.png,22.80952381,Jewish,,
IFD_M-051-N.png,23.11904762,Arab,,
IFD_M-111-N.png,23.11904762,Arab,,
CFD_M-210-N.png,23.21428571,Arab,,
IFD_M-087-N.png,24.52380952,Jewish,,
CFD_M-238-N.png,24.85714286,Arab,,
IFD_M-015-N.png,25.11904762,Jewish,,
IFD_M-113-N.png,25.9047619,Jewish,,
IFD_M-084-N.png,26.21428571,Arab,,
CFD_M-232-N.png,26.78571429,Arab,,
IFD_M-097-N.png,27.35714286,Arab,,
IFD_M-032-N.png,27.42857143,Arab,,
IFD_M-020-N.png,28.16666667,Arab,,
IFD_M-035-N.png,28.92857143,Jewish,,
CFD_M-235-N.png,29.52380952,Arab,,
IFD_M-049-N.png,29.80952381,Arab,,
IFD_M-017-N.png,33.78571429,Jewish,,
IFD_M-114-N.png,34.07142857,Jewish,,
CFD_M-250-N.png,36.23809524,Jewish,,
IFD_M-069-N.png,38.35714286,Arab,,
IFD_M-028-N.png,40.61904762,Jewish,,
CFD_M-201-N.png,40.97619048,Jewish,,
IFD_M-423-N.png,41.73809524,Arab,,
IFD_M-107-N.png,47.4047619,Arab,,
CFD_M-202-N.png,49.4047619,Arab,,
IFD_M-066-N.png,59.4047619,Arab,,
IFD_M-039-N.png,60.4047619,Arab,,
IFD_M-045-N.png,60.80952381,Arab,,
IFD_M-046-N.png,68.83333333,Arab,,
